crime_id,cr_number,victims_num,start_date,end_date,place_name,offense_id,agency_id,nibrs_code,dispatch_id
1,230001273,1,2023-01-09,2023-01-09,Street - Residential,1,1,1,1
2,230001274,1,2023-01-08,2023-01-09,Parking Garage - Other,2,2,2,2
3,230001281,1,2023-01-08,2023-01-09,Parking Garage - Residential,1,3,1,3
4,230001276,1,2022-09-03,2023-01-09,Residence -Townhouse/Duplex,3,4,3,4
5,230001280,1,2022-11-01,2022-11-30,Residence -Townhouse/Duplex,4,5,4,5
6,230001286,1,2023-01-08,2023-01-09,Restaurant,7,2,6,8
7,230001278,1,2022-12-20,2023-01-06,School - Elementary/Secondary,8,8,7,9
8,230001284,1,2022-12-07,2022-12-23,Cyberspace,9,8,8,10
9,230001264,1,2023-01-09,2023-01-09,Residence - Apartment/Condo,10,1,9,11
10,230001289,1,2023-01-08,2023-01-09,Parking Garage - Residential,1,3,1,13
11,230001301,1,2021-10-15,2023-01-09,Other/Unknown,11,5,8,14
12,230001301,1,2021-10-15,2023-01-09,Parking Lot - Other,2,5,2,15
13,230001292,1,2023-01-09,2023-01-09,Gas Station,1,10,1,17
14,230001298,1,2023-01-09,2023-01-09,Convenience Store,13,10,11,19
15,230001266,1,2023-01-07,2023-01-09,Residence - Apartment/Condo,14,10,6,20
16,230001066,1,2023-01-07,2023-01-07,Street - In vehicle,15,6,12,21
17,230001308,1,2023-01-09,2023-01-09,Restaurant,16,7,13,23
18,230001307,2,2023-01-09,2023-01-09,Street - Residential,16,5,13,25
19,230001319,1,2023-01-06,2023-01-08,Parking Garage - Residential,20,3,17,29
20,230001303,1,2022-12-01,2023-01-09,Government Building,6,5,5,31
21,230001309,1,2023-01-08,2023-01-09,Parking Lot - Residential,18,2,15,32
22,230001279,1,2023-01-09,2023-01-09,Street - Bus Stop,24,2,5,37
23,230001328,1,2023-01-08,2023-01-09,Street - Residential,18,6,15,39
24,230001271,1,2023-01-09,2023-01-09,Street - Residential,2,8,2,42
25,230001338,1,2023-01-08,2023-01-09,Parking Lot - Church,1,8,1,44
26,230001340,1,2023-01-09,2023-01-09,Residence - Apartment/Condo,16,1,13,45
27,230001342,1,2023-01-08,2023-01-09,Street - In vehicle,1,6,1,46
