dispatch_id,start_time,end_time,dispatch_date
1,7:45:00,8:30:00,1/9/23
2,17:45:00,7:30:00,1/9/23
3,19:00:00,8:30:00,1/9/23
4,12:00:00,8:15:00,1/9/23
5,9:00:00,21:00:00,1/9/23
8,23:30:00,8:55:00,1/9/23
9,13:00:00,12:30:00,1/9/23
10,9:00:00,18:00:00,1/9/23
11,7:03:00,7:15:00,1/9/23
,,,
13,20:00:00,2:00:00,1/9/23
14,0:00:00,9:00:00,1/9/23
15,0:00:00,9:00:00,1/9/23
,,,
17,10:05:00,10:14:00,1/9/23
,,,
19,9:00:00,10:59:00,1/9/23
20,15:30:00,7:00:00,1/9/23
21,13:15:00,13:30:00,1/7/23
,,,
23,11:20:00,11:37:00,1/9/23
,,,
25,11:00:00,12:00:00,1/9/23
,,,
,,,
,,,
29,0:00:00,0:00:00,1/9/23
,,,
31,0:00:00,0:00:00,1/9/23
32,17:00:00,9:00:00,1/9/23
,,,
,,,
,,,
,,,
37,7:00:00,7:30:00,1/9/23
,,,
39,21:00:00,10:00:00,1/9/23
,,,
,,,
42,0:30:00,6:30:00,1/9/23
,,,
44,21:00:00,6:40:00,1/9/23
45,14:00:00,14:19:00,1/9/23
46,20:00:00,5:00:00,1/9/23
,,,
48,17:30:00,19:30:00,1/9/23
,,,
50,20:00:00,6:00:00,1/9/23
51,12:45:00,13:45:00,1/9/23
,,,
53,15:18:00,15:27:00,1/9/23
,,,
55,16:38:00,0:00:00,1/9/23
56,15:15:00,16:00:00,1/8/23
57,15:15:00,16:00:00,1/8/23
,,,
,,,
,,,
,,,
,,,
,,,
64,17:44:00,18:00:00,1/9/23
,,,
,,,
,,,
68,20:00:00,7:00:00,1/9/23
69,17:59:00,0:00:00,1/9/23
,,,
,,,
,,,
,,,
,,,
75,18:17:00,18:30:00,1/9/23
,,,
,,,
,,,
79,0:00:00,0:00:00,1/9/23
80,0:00:00,0:00:00,1/9/23
81,8:45:00,15:30:00,1/9/23
82,17:40:00,19:30:00,1/9/23
,,,
,,,
85,19:54:00,0:00:00,1/9/23
86,20:28:00,21:30:00,1/9/23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
96,11:00:00,9:00:00,1/9/23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
104,18:00:00,10:00:00,1/9/23
,,,
,,,
,,,
108,23:52:00,23:00:00,1/9/23
109,17:36:00,18:57:00,1/9/23
110,15:00:00,15:00:00,1/10/23
,,,
,,,
,,,
114,1:10:00,1:17:00,1/10/23
,,,
,,,
,,,
,,,
,,,
120,0:24:00,2:30:00,1/10/23
121,18:00:00,5:00:00,1/10/23
,,,
123,0:00:00,0:00:00,1/10/23
124,19:30:00,6:25:00,1/10/23
125,19:00:00,7:00:00,1/10/23
126,18:00:00,9:30:00,1/9/23
,,,
,,,
,,,
130,19:30:00,7:00:00,1/10/23
131,19:30:00,7:00:00,1/10/23
,,,
133,0:00:00,0:00:00,1/10/23
,,,
135,12:00:00,21:00:00,1/10/23
,,,
,,,
138,10:00:00,9:00:00,12/12/22
139,10:08:00,10:40:00,1/9/23
,,,
,,,
,,,
143,20:30:00,5:00:00,1/10/23
,,,
145,0:00:00,13:30:00,1/10/23
146,21:30:00,5:30:00,1/10/23
147,22:00:00,11:00:00,1/9/23
,,,
149,0:00:00,7:00:00,1/10/23
150,20:00:00,9:20:00,1/10/23
151,9:28:00,10:04:00,1/10/23
152,14:00:00,8:30:00,1/10/23
,,,
154,1:00:00,13:00:00,1/10/23
,,,
,,,
157,12:05:00,12:15:00,1/10/23
158,13:05:00,0:00:00,1/10/23
159,18:00:00,7:00:00,1/10/23
,,,
,,,
,,,
163,15:45:00,16:00:00,1/9/23
,,,
,,,
166,19:00:00,7:00:00,1/9/23
167,11:20:00,12:30:00,1/10/23
168,23:40:00,9:00:00,1/10/23
,,,
,,,
171,9:00:00,18:00:00,1/10/23
,,,
,,,
174,14:33:00,14:45:00,1/10/23
,,,
,,,
177,0:00:00,23:59:00,1/10/23
178,0:00:00,23:59:00,1/10/23
,,,
180,22:00:00,11:20:00,1/10/23
181,12:30:00,14:30:00,1/10/23
182,19:00:00,17:15:00,1/10/23
183,0:00:00,23:59:00,1/10/23
184,14:00:00,17:00:00,1/10/23
185,0:00:00,23:59:00,1/10/23
,,,
187,12:00:00,16:30:00,1/10/23
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
