location_id,address,city,state,zip_code
1,600 BLK  DENHAM RD,ROCKVILLE,MD,20851
2,6700 BLK  DEMOCRACY BLV,BETHESDA,MD,20817
3,1100 BLK  HIGGINS PL,ROCKVILLE,MD,20852
4,500 BLK  RUDBECKIA PL,GAITHERSBURG,MD,20878
5,18700 BLK  BARN SWALLOW TER,GAITHERSBURG,MD,20879
6,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910
7,12700 BLK  PUMPKIN SEED CT,GERMANTOWN,MD,20874
8,8300 BLK  GRUBB RD,SILVER SPRING,MD,20910
9,900 BLK  UNIVERSITY BLV,SILVER SPRING,MD,20901
10,500 BLK  RIDGEWELL WAY,SILVER SPRING,MD,20902
11,1100 BLK  HIGGINS PL,ROCKVILLE,MD,20852
12,9600 BLK  WARFIELD RD,GAITHERSBURG,MD,20882
13,5200 BLK  CROSSFIELD CT,ROCKVILLE,MD,20852
14,600 BLK  PERRY PKW,GAITHERSBURG,MD,20877
15,600 BLK  PERRY PKW,GAITHERSBURG,MD,20877
16,10100 BLK  COLESVILLE RD,SILVER SPRING,MD,20901
17,6300 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912
18,8500 BLK  FENTON ST,SILVER SPRING,MD,20910
19,6900 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912
20,1200 BLK  MYRTLE AVE,TAKOMA PARK,MD,20912
21,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910
22,1300 BLK  UNIVERSITY BLV,TAKOMA PARK,MD,20912
23,19900 BLK  FREDERICK RD,GERMANTOWN,MD,20876
24,7100 BLK  WOODLAND AVE,TAKOMA PARK,MD,20912
25,17600 BLK  SHADY SPRING TER,GAITHERSBURG,MD,20877
26,1000 BLK  TAFT ST,ROCKVILLE,MD,20850
27,1  BLK  GRAND CORNER AVE,GAITHERSBURG,MD,20878
28,1  BLK  GRAND CORNER AVE,GAITHERSBURG,MD,20878
29,16000 BLK  REDLAND RD,DERWOOD,MD,20855
30,19700 BLK  CRYSTAL ROCK DR,GERMANTOWN,MD,20874
31,7200 BLK  MUNCASTER MILL RD,DERWOOD,MD,20855
32,5200 BLK  TUCKERMAN LA,ROCKVILLE,MD,20852
33,4800 BLK  RUGBY AVE,BETHESDA,MD,20814
34,9700 BLK  HELLINGLY PL,MONTGOMERY VILLAGE,MD,20886
35,14300 BLK  GEORGIA AVE,SILVER SPRING,MD,20906
36,14300 BLK  GEORGIA AVE,SILVER SPRING,MD,20906
,,,,
38,1100 BLK  BONIFANT ST,SILVER SPRING,MD,20910
39,800 BLK  GREGORIO DR,SILVER SPRING,MD,20901
40,3800 BLK  UNDERWOOD ST,CHEVY CHASE,MD,20815
41,8500 BLK  FENTON ST,SILVER SPRING,MD,20910
,,,,
43,11100 BLK  KORMAN DR,POTOMAC,MD,20854
44,4100 BLK  NORBECK RD,ROCKVILLE,MD,20853
45,1000 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852
46,1  BLK  LEATHERWOOD CT,BURTONSVILLE,MD,20866
47,8900 BLK  MAINE AVE,SILVER SPRING,MD,20910
48,8100 BLK  GEORGIA AVE,SILVER SPRING,MD,20910
49,4600 BLK N PARK AVE,CHEVY CHASE,MD,20815
50,200 BLK  COMMUNITY CENTER AVE,GAITHERSBURG,MD,20878
51,10200 BLK  FERNWOOD RD,BETHESDA,MD,20817
52,19800 BLK  OBSERVATION DR,GERMANTOWN,MD,20876
53,5300 BLK  WESTERN AVE,CHEVY CHASE,MD,20815
54,13900 BLK  CASTLE BLV,SILVER SPRING,MD,20904
55,13500 BLK  GRENOBLE DR,ROCKVILLE,MD,20853
56,10200 BLK  OLD GEORGETOWN RD,BETHESDA,MD,20814
57,10200 BLK  OLD GEORGETOWN RD,BETHESDA,MD,20814
58,1200 BLK E WEST HWY,SILVER SPRING,MD,20910
59,8400 BLK  GEORGIA AVE,SILVER SPRING,MD,20910
60,20900 BLK  FREDERICK RD,GERMANTOWN,MD,20876
61,8700 BLK  FLOWER AVE,SILVER SPRING,MD,20901
,,,,
63,14300 BLK  GEORGIA AVE,SILVER SPRING,MD,20906
64,18000 BLK  EDNOR VIEW TER,ASHTON,MD,20861
65,1000 BLK  MILESTONE DR,SILVER SPRING,MD,20904
66,800 BLK  CLOPPER RD,GAITHERSBURG,MD,20878
,,,,
68,9100 BLK  WARREN ST,SILVER SPRING,MD,20910
69,1200 BLK  HOLTON LA,TAKOMA PARK,MD,20912
70,9900 BLK  MEDICAL CENTER DR,ROCKVILLE,MD,20850
,,,,
72,10900 BLK  BUCKNELL DR,SILVER SPRING,MD,20902
73,1600 BLK  PARHAM RD,SILVER SPRING,MD,20903
74,12700 BLK  GOODHILL RD,SILVER SPRING,MD,20906
,,,,
76,15000 BLK  BROSCHART RD,ROCKVILLE,MD,20850
77,10100 BLK  RIVER RD,POTOMAC,MD,20854
78,10100 BLK  RIVER RD,POTOMAC,MD,20854
,,,,
,,,,
81,400 BLK  BEALL AVE,ROCKVILLE,MD,20850
82,5200 BLK  POOKS HILL RD,BETHESDA,MD,20814
83,3100 BLK  BEAVERWOOD LA,SILVER SPRING,MD,20906
84,3100 BLK  BEAVERWOOD LA,SILVER SPRING,MD,20906
85,4500 BLK  BAYNE ST,ROCKVILLE,MD,20853
86,1300 BLK  PICCARD DR,ROCKVILLE,MD,20850
87,9500 BLK  EMORY GROVE RD,GAITHERSBURG,MD,20877
,,,,
89,300 BLK  COMMUNITY CENTER AVE,GAITHERSBURG,MD,20878
90,13900 BLK  NEW HAMPSHIRE AVE,SILVER SPRING,MD,20904
91,4800 BLK  RUGBY AVE,BETHESDA,MD,20814
92,16000 BLK  WALLINGFORD RD,SILVER SPRING,MD,20906
93,300 BLK  UNIVERSITY BLV,SILVER SPRING,MD,20901
94,4100 BLK  SAMPSON RD,SILVER SPRING,MD,20906
95,1  BLK  ORCHARD DR,GAITHERSBURG,MD,20878
,,,,
97,8400 BLK  COLESVILLE RD,SILVER SPRING,MD,20910
98,11100 BLK  VEIRS MILL RD,SILVER SPRING,MD,20902
99,300 BLK  UNIVERSITY BLV,SILVER SPRING,MD,20901
100,14200 BLK  GEORGIA AVE,SILVER SPRING,MD,20906
101,700 BLK  QUINCE ORCHARD BLV,GAITHERSBURG,MD,20878
102,1  BLK  GRAND CORNER AVE,GAITHERSBURG,MD,20878
103,8400 BLK  FENTON ST,SILVER SPRING,MD,20910
104,14400 BLK  CLAY ROCK LA,SILVER SPRING,MD,20906
105,2500 BLK  GLENALLAN AVE,SILVER SPRING,MD,20906
106,7600 BLK  NEW HAMPSHIRE AVE,TAKOMA PARK,MD,20912
107,1100 BLK  RIPLEY ST,SILVER SPRING,MD,20910
108,600 BLK  BLANDFORD ST,ROCKVILLE,MD,20850
,,,,
110,1  BLK  MARYLAND AVE,ROCKVILLE,MD,20850
111,700 BLK  MONROE ST,ROCKVILLE,MD,20850
112,700 BLK  MONROE ST,ROCKVILLE,MD,20850
113,11500 BLK  STEWART LA,SILVER SPRING,MD,20904
,,,,
115,11800 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852
116,11800 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852
117,11800 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852
118,11800 BLK  ROCKVILLE PIK,ROCKVILLE,MD,20852
,,,,
120,600 BLK  BLANDFORD ST,ROCKVILLE,MD,20850
121,3800 BLK  BEL PRE RD,SILVER SPRING,MD,20906
122,9300 BLK  HARVEY RD,SILVER SPRING,MD,20910
123,5600 BLK  ONTARIO CIR,BETHESDA,MD,20816
124,10100 BLK  REPRISE DR,ROCKVILLE,MD,20850
125,2300 BLK  GLENMONT CIR,SILVER SPRING,MD,20902
126,6700 BLK  DEMOCRACY BLV,BETHESDA,MD,20817
127,8500 BLK  COLESVILLE RD,SILVER SPRING,MD,20910
128,2900 BLK  UNIVERSITY BLV,KENSINGTON,MD,20895
129,1900 BLK  OLIVINE CT,SILVER SPRING,MD,20904
130,600 BLK  SOUTHLAWN LA,ROCKVILLE,MD,20850
131,600 BLK  SOUTHLAWN LA,ROCKVILLE,MD,20850
132,9900 BLK  RIDGELINE DR,MONTGOMERY VILLAGE,MD,20886
133,16000 BLK  INDUSTRIAL DR,GAITHERSBURG,MD,20877
134,10200 BLK  KENSINGTON PKW,KENSINGTON,MD,20895
135,4300 BLK  FERRARA DR,SILVER SPRING,MD,20906
136,3500 BLK  NAPIER ST,SILVER SPRING,MD,20906
137,19200 BLK  THOMAS FARM RD,MONTGOMERY VILLAGE,MD,20886
